ordnum,orddetid,custcode,name,Ship to,descr,count size,Condition,variety,Sizes,Label,Order Status,Sum of pallets,Sum of qty,shpDate,deldate,dp,todp,Pallet
2024428,862361,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,864,4/30/2025 0:00,5/2/2025 0:00,77,1922,6
2024429,862363,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,18OZX12,OR,.,.,HIP,Open,,400,4/30/2025 0:00,5/2/2025 0:00,77,1921,4
2024429,862364,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,720,4/30/2025 0:00,5/2/2025 0:00,77,1921,5
2024430,862366,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,18OZX12,OR,.,.,HIP,Open,,900,5/2/2025 0:00,5/4/2025 0:00,77,1922,9
2024430,862365,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,864,5/2/2025 0:00,5/4/2025 0:00,77,1922,6
2024431,862367,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,18OZX12,OR,.,.,HIP,Open,,800,5/2/2025 0:00,5/4/2025 0:00,77,1921,8
2024431,862368,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,720,5/2/2025 0:00,5/4/2025 0:00,77,1921,5
2024432,862370,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,1000,5/2/2025 0:00,5/4/2025 0:00,77,1922,10
2024432,862369,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,1152,5/2/2025 0:00,5/4/2025 0:00,77,1922,8
2024433,862371,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,900,5/2/2025 0:00,5/4/2025 0:00,77,1921,9
2024433,862372,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,1152,5/2/2025 0:00,5/4/2025 0:00,77,1921,8
2024434,862374,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,18OZX12,OR,.,.,HIP,Open,,700,5/2/2025 0:00,5/4/2025 0:00,77,1991,7
2024434,862373,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,576,5/2/2025 0:00,5/4/2025 0:00,77,1991,4
2024435,862375,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,500,5/2/2025 0:00,5/4/2025 0:00,77,1991,5
2024435,862376,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,576,5/2/2025 0:00,5/4/2025 0:00,77,1991,4
2024438,863270,SSCHES,STOP & SHOP CHESTER,STOP & SHOP CHESTER,Blueberries,9.8OZX12,.,.,18+,AJB,Open,3,612,4/30/2025 0:00,5/1/2025 0:00,12,1777,3
2024440,863415,SSCHES,STOP & SHOP CHESTER,STOP & SHOP CHESTER,Blueberries,DRYPINTX12,.,.,.,ALP,Open,14,2016,4/29/2025 0:00,5/1/2025 0:00,77,1777,14
2024441,863417,FRETWN,STOP & SHOP FREETOWN,STOP & SHOP FREETOWN,Blueberries,DRYPINTX12,.,.,.,ALP,Open,14,2016,4/29/2025 0:00,5/1/2025 0:00,77,1339,14
2204300,851979,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,18OZX12,.,.,.,ALP,Open,,200,4/29/2025 0:00,5/1/2025 0:00,2,1814,2
2204300,851978,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,DRYPINTX12,.,.,.,ALP,Open,,432,4/29/2025 0:00,5/1/2025 0:00,2,1814,3
2204300,851977,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,288,4/29/2025 0:00,5/1/2025 0:00,2,1814,2
2204301,852282,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,18OZX12,.,.,.,ALP,Open,,100,4/30/2025 0:00,5/3/2025 0:00,2,1814,1
2204301,852281,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,DRYPINTX12,.,.,.,ALP,Open,,432,4/30/2025 0:00,5/3/2025 0:00,2,1814,3
2204301,852283,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,144,4/30/2025 0:00,5/3/2025 0:00,2,1814,1
2204302,852287,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,18OZX12,.,.,.,ALP,Open,,100,5/2/2025 0:00,5/5/2025 0:00,2,1814,1
2204302,852285,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,DRYPINTX12,.,.,.,ALP,Open,,288,5/2/2025 0:00,5/5/2025 0:00,2,1814,2
2204302,852286,TA3899,"TARGET RIALTO, CA","TARGET RIALTO, CA",Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,144,5/2/2025 0:00,5/5/2025 0:00,2,1814,1
2204402,860106,MCCART,MCCARTNEY PRODUCE HOME OFFICE,MCCARTNEY PRODUCE HOME OFFICE,Blueberries,6OZX12,.,.,.,ALP,Open,,120,4/28/2025 0:00,4/28/2025 0:00,27,1579,0.5
2204402,860105,MCCART,MCCARTNEY PRODUCE HOME OFFICE,MCCARTNEY PRODUCE HOME OFFICE,Blueberries,6OZX6,.,.,.,ALP,Open,,810,4/28/2025 0:00,4/28/2025 0:00,27,1579,2.3
2204405,860922,UNIFRU,UNITED FRUIT & PRODUCE,UNITED FRUIT & PRODUCE,Blueberries,6OZX6,.,.,.,ALP,Open,,1440,4/28/2025 0:00,5/1/2025 0:00,27,1854,4
2204415,862721,TA3880,TARGET WEST JEFFERSON,TARGET WEST JEFFERSON,Blueberries,18OZX12,.,.,.,ALP,Open,,200,4/29/2025 0:00,5/1/2025 0:00,2,1810,2
2204415,862720,TA3880,TARGET WEST JEFFERSON,TARGET WEST JEFFERSON,Blueberries,DRYPINTX12,.,.,.,ALP,Open,,648,4/29/2025 0:00,5/1/2025 0:00,2,1810,4.5
